position,person,personID,start,end
monarch,Elizabeth II,Q9682,1978-07-07,
Governor-General,Frank Kabui,Q718204,2009-07-07,2019-07-07
Governor-General,David Vunagi,Q5240675,2019-07-07,
Prime Minister,Manasseh Sogavare,Q536063,2000-06-30,2001-12-17
Prime Minister,Allan Kemakeza,Q654672,2001-12-17,2006-04-20
Prime Minister,Manasseh Sogavare,Q536063,2006-05-04,2007-12-20
Prime Minister,Danny Philip,Q561575,2010-08-25,2011-11-16
Prime Minister,Gordon Darcy Lilo,Q939825,2011-11-16,2014-12-09
Prime Minister,Manasseh Sogavare,Q536063,2014-12-09,2017-12-15
Prime Minister,Rick Hou,Q7331464,2017-11-15,2019-04-24
Prime Minister,Manasseh Sogavare,Q536063,2019-04-24,
Minister of Agriculture and Livestock,Augustine Auga,Q59096569,2019-04-25,2020-04-29
Minister of Agriculture and Livestock,Senley Filualea,Q109910536,2020-04-29,2021-11
Minister of Agriculture and Livestock,Augustine Auga,Q59096569,2022-02-25,
"Minister of Commerce, Industry, Labour and Immigration",Clezy Rore,Q109910368,2019-04-25,2021-03-25
"Minister of Commerce, Industry, Labour and Immigration",Frederick Kologeto,Q109910738,2021-03-25,
Minister for Communications and Aviation,Peter Shannel Agovaka,Q7176876,2019-04-25,
Minister of Culture and Tourism,Bartholomew Parapolo,Q42543823,2019-04-25,
Minister of Education and Human Resources Development,John Dean Kuku,Q42652376,2019-04-25,2019-10-01
Minister of Education and Human Resources Development,John Moffat Fugui,Q6249053,2019-10-01,2020-02-20
Minister of Education and Human Resources Development,Commins Mewa,Q5152607,2020-02-20,2020-04-29
Minister of Education and Human Resources Development,Lanelle Tanangada,Q59125182,2020-04-29,
"Minister for Environment, Climate Change, Disaster Management & Meteorology",Culwick Togamana,Q59096690,2019-04-25,2020-08-28
"Minister for Environment, Climate Change, Disaster Management & Meteorology",Dickson Mua,Q2791876,2020-08-28,2020-12-14
"Minister for Environment, Climate Change, Disaster Management & Meteorology",Titus Mokofi Fika,Q109910928,2020-12-14,2021-11-19
"Minister for Environment, Climate Change, Disaster Management & Meteorology",Stanley Festus Sofu,Q7599597,2022-02-25,
Minister of Finance and Treasury,John Maneniaru,Q42651821,2017-10-13,2017-11-06
Minister of Finance and Treasury,Harry Kuma,Q109910285,2019-04-25,
Minister for Fisheries and Marine Resources,John Maneniaru,Q42651821,2019-04-25,2019-10-01
Minister for Fisheries and Marine Resources,Nestor Ghiro,Q42547286,2019-10-01,
Minister of Foreign Affairs,Patteson Oti,Q7148496,1997-08,2000-06
Minister of Foreign Affairs,Laurie Chan,Q16195943,2002,2006
Minister of Foreign Affairs,Patteson Oti,Q7148496,2006-05,2007-12-22
Minister of Foreign Affairs,Peter Shannel Agovaka,Q7176876,2010-08-27,2012-02-09
Minister of Foreign Affairs,Jeremiah Manele,Q6180897,2019-04-25,
Minister of Forestry and Research,Ishmael Avui,Q59096046,2019-04-25,2020-04-29
Minister of Forestry and Research,Commins Mewa,Q5152607,2020-04-29,2020-12-14
Minister of Forestry and Research,Dickson Mua,Q2791876,2020-12-14,
Minister of Health and Medical Services,Dickson Mua,Q2791876,2019-04-25,2020-08-28
Minister of Health and Medical Services,Culwick Togamana,Q59096690,2020-08-28,
Minister of Home Affairs,Christopher Laore,Q5112700,2019-04-25,
Minister of Infrastructure Development,Manasseh Maelanga,Q6747030,2019-04-25,
Minister of Justice and Legal Affairs,Dr. Tautai Agikimu'a Kaitu'u,Q22005720,2019-04-25,2019-09-26
Minister of Justice and Legal Affairs,Makario Tagini,Q109910674,2019-09-26,2021-03-25
Minister of Justice and Legal Affairs,Clezy Rore,Q109910368,2021-03-31,
"Minister of Lands, Housing and Survey",William Marau,Q59096286,2019-04-25,2020-04-29
"Minister of Lands, Housing and Survey",Ishmael Avui,Q59096046,2020-04-29,
"Minister for Mines, Energy and Rural Electrification",Braddley Tovosia,Q4954443,2019-04-25,
Minister of National Planning and Development Coordination,Rick Hou,Q7331464,2019-04-25,2019-09-26
Minister of National Planning and Development Coordination,Rex Ramofafia,Q109910657,2019-09-26,
"Minister of Police, National Security and Correctional Services",Peter Shannel Agovaka,Q7176876,2014-12-23,2017-11-24
"Minister of Police, National Security and Correctional Services",Lanelle Tanangada,Q59125182,2019-04-25,2019-10-01
"Minister of Police, National Security and Correctional Services",Anthony Veke,Q52577576,2019-10-01,
Minister of Provincial Government and Institutional Strengthening,Anthony Veke,Q52577576,2019-04-25,2019-10-01
Minister of Provincial Government and Institutional Strengthening,Commins Mewa,Q5152607,2019-10-01,2020-02-20
Minister of Provincial Government and Institutional Strengthening,Rolland Seleso,Q109910884,2020-02-20,
Minister of Public Service,Makario Tagini,Q109910674,2021-03-25,
Minister for Rural Development,Dudley Kopu,Q59096136,2019-04-25,
"Minister of Traditional Governance, Peace and Ecclesiastical Affairs",Samuel Manetoali,Q7412100,2019-04-25,
"Minister of Women, Youth, Children and Family Affairs",Freda Soria Comua,Q42559064,2017-11-16,
Speaker of the National Parliament,Patteson Oti,Q7148496,2019-05-15,
Governor of the Central Bank,Luke Forau,Q109911186,2019-10-01,
