wanted,position,positionid,from,start,end
Q109910738,Minister of Public Service,Q109910727,Q109910674,2021-03-25,
Q1370998,Minister of Finance and Treasury,Q109910286,Q42651821,2017-10-13,2017-11-06
Q5112700,"Minister of Police, National Security and Correctional Services",Q109910256,Q7176876,2014-12-23,2017-11-24
Q379730,Prime Minister,Q1425954,Q561575,2010-08-25,2011-11-16
Q704017,Governor-General,Q110915991,Q718204,2009-07-07,2019-07-07
Q1370998,Prime Minister,Q1425954,Q536063,2006-05-04,2007-12-20
Q809332,Prime Minister,Q1425954,Q536063,2000-06-30,2001-12-17
