wanted,position,positionid,from,start,end
Q536063,Minister of Finance and Treasury,Q109910286,Q42651821,2017-10-13,2017-11-06
Q6915778,"Minister of Police, National Security and Correctional Services",Q109910256,Q7176876,2014-12-23,2017-11-24
Q5129896,Minister of Foreign Affairs,Q20716385,Q7176876,2010-08-27,2012-02-09
Q379730,Prime Minister,Q1425954,Q536063,2006-05-04,2007-12-20
Q58229,Minister of Foreign Affairs,Q20716385,Q7148496,2006-05,2007-12-22
Q1370998,Prime Minister,Q1425954,Q654672,2001-12-17,2006-04-20
Q561575,Minister of Foreign Affairs,Q20716385,Q7148496,1997-08,2000-06
